symbol,base_coin,quote_coin
AVAUSDT,AVA,USDT
AVAXBNB,AVAX,BNB
AVAXBRL,AVAX,BRL
AVAXBTC,AVAX,BTC
AVAXETH,AVAX,ETH
AVAXEUR,AVAX,EUR
AVAXFDUSD,AVA,XFDUSD
AVAXTRY,AVAX,TRY
AVAXUSDT,AVAX,USDT
AXSBNB,AXS,BNB
AXSBTC,AXS,BTC
AXSETH,AXS,ETH
AXSTRY,AXS,TRY
AXSUSDT,AXS,USDT
BAKEBTC,BAKE,BTC
BAKEUSDT,BAKE,USDT
BANDBTC,BAND,BTC
BANDUSDT,BAND,USDT
BARTRY,BAR,TRY
BARUSDT,BAR,USDT
BATBTC,BAT,BTC
BATUSDT,BAT,USDT
BCHBNB,BCH,BNB
BCHBTC,BCH,BTC
BCHEUR,BCH,EUR
BCHFDUSD,BC,HFDUSD
BCHTRY,BCH,TRY
BCHUSDC,BCH,USDC
BCHUSDT,BCH,USDT
BEAMXTRY,BEAMX,TRY
BEAMXUSDT,BEAMX,USDT
BELBTC,BEL,BTC
BELTRY,BEL,TRY
BELUSDT,BEL,USDT
BICOBTC,BICO,BTC
BICOUSDT,BICO,USDT
BIFIUSDT,BIFI,USDT
BNBBRL,BN,BBRL
BNBBTC,BNB,BTC
BNBETH,BNB,ETH
BNBEUR,BNB,EUR
BNBFDUSD,BN,BFDUSD
BNBTRY,BNB,TRY
BNBTUSD,BN,BTUSD
BNBUSDC,BNB,USDC
BNBUSDT,BNB,USDT
BNTUSDT,BNT,USDT
BSWTRY,BSW,TRY
BSWUSDT,BSW,USDT
BTCARS,BTC,ARS
BTCBRL,B,TCBRL
BTCDAI,BTC,DAI
BTCEUR,BTC,EUR
BTCFDUSD,BT,CFDUSD
BTCPLN,BTC,PLN
BTCRON,BTC,RON
BTCTRY,BTC,TRY
BTCTUSD,BTC,TUSD
BTCUAH,BTC,UAH
BTCUSDC,BTC,USDC
BTCUSDT,BTC,USDT
BTCZAR,BTC,ZAR
BTTCTRY,BTTC,TRY
BTTCUSDT,BTTC,USDT
C98USDT,C98,USDT
CAKEBNB,CAKE,BNB
CAKEBTC,CAKE,BTC
CAKETRY,CAKE,TRY
CAKEUSDT,CAKE,USDT
CELOBTC,CELO,BTC
CELOUSDT,CELO,USDT
CELRUSDT,CELR,USDT
CFXBTC,CFX,BTC
CFXTRY,CFX,TRY
CFXUSDT,CFX,USDT
CHESSUSDT,CHESS,USDT
CHRBTC,CHR,BTC
CHRUSDT,CHR,USDT
CHZBNB,CHZ,BNB
CHZBTC,CHZ,BTC
CHZTRY,CHZ,TRY
CHZUSDT,CHZ,USDT
CITYTRY,CITY,TRY
CITYUSDT,CITY,USDT
CKBUSDT,CKB,USDT
COMPBTC,COMP,BTC
COMPTRY,COMP,TRY
COMPUSDT,COMP,USDT
COSTRY,COS,TRY
COSUSDT,COS,USDT
COTIBTC,COTI,BTC
COTIUSDT,COTI,USDT
CRVBTC,CRV,BTC
CRVUSDT,CRV,USDT
CTKBNB,CTK,BNB
CTKBTC,CTK,BTC
CTKUSDT,CTK,USDT
CTSIBTC,CTSI,BTC
CTSIUSDT,CTSI,USDT
CVCUSDT,CVC,USDT
CVXUSDT,CVX,USDT
CYBERBNB,CYBER,BNB
CYBERBTC,CYBER,BTC
CYBERETH,CYBER,ETH
CYBERFDUSD,CYBE,RFDUSD
CYBERTRY,CYBER,TRY
CYBERUSDT,CYBER,USDT
DASHBTC,DASH,BTC
DASHETH,DASH,ETH
DASHUSDT,DASH,USDT
DATABTC,DATA,BTC
DATAUSDT,DATA,USDT
DCRUSDT,DCR,USDT
DEGOUSDT,DEGO,USDT
DENTETH,DENT,ETH
DENTTRY,DENT,TRY
DENTUSDT,DENT,USDT
DEXEUSDT,DEXE,USDT
DFUSDT,DF,USDT
DGBUSDT,DGB,USDT
DIABTC,DIA,BTC
DIAUSDT,DIA,USDT
DODOBTC,DODO,BTC
DODOUSDT,DODO,USDT
DOGEBRL,DOGE,BRL
DOGEBTC,DOGE,BTC
DOGEEUR,DOGE,EUR
DOGEFDUSD,DOG,EFDUSD
DOGETRY,DOGE,TRY
DOGETUSD,DOGE,TUSD
DOGEUSDC,DOGE,USDC
DOGEUSDT,DOGE,USDT
DOTBNB,DOT,BNB
DOTBRL,DO,TBRL
DOTBTC,DOT,BTC
DOTETH,DOT,ETH
DOTEUR,DOT,EUR
DOTFDUSD,DO,TFDUSD
DOTTRY,DOT,TRY
DOTUSDT,DOT,USDT
DUSKBTC,DUSK,BTC
DUSKUSDT,DUSK,USDT
DYDXBTC,DYDX,BTC
DYDXFDUSD,DYD,XFDUSD
DYDXUSDT,DYDX,USDT
EDUTRY,EDU,TRY
EDUUSDT,EDU,USDT
EGLDBNB,EGLD,BNB
EGLDBTC,EGLD,BTC
EGLDETH,EGLD,ETH
EGLDEUR,EGLD,EUR
EGLDFDUSD,EGLD,FDUSD
EGLDRON,EGLD,RON
EGLDUSDT,EGLD,USDT
ENJBTC,ENJ,BTC
ENJTRY,ENJ,TRY
ENJUSDT,ENJ,USDT
ENSBTC,ENS,BTC
ENSTRY,ENS,TRY
ENSUSDT,ENS,USDT
EOSBTC,EOS,BTC
EOSETH,EOS,ETH
EOSTRY,EOS,TRY
EOSUSDC,EOS,USDC
EOSUSDT,EOS,USDT
ETCBNB,ETC,BNB
ETCBTC,ETC,BTC
ETCETH,ETC,ETH
ETCTRY,ETC,TRY
ETCUSDT,ETC,USDT
ETHBRL,ETH,BRL
ETHBTC,ETH,BTC
ETHDAI,ETH,DAI
ETHEUR,ETH,EUR
ETHFDUSD,ET,HFDUSD
ETHPLN,ETH,PLN
ETHTRY,ETH,TRY
ETHTUSD,ETH,TUSD
ETHUSDC,ETH,USDC
ETHUSDT,ETH,USDT
ETHZAR,ETH,ZAR
EURUSDT,EUR,USDT
FARMUSDT,FARM,USDT
FDUSDTRY,FDUSD,TRY
FDUSDUSDT,FDUSD,USDT
FETBNB,FET,BNB
FETBTC,FET,BTC
FETFDUSD,FE,TFDUSD
FETTRY,FET,TRY
FETUSDT,FET,USDT
FIDABTC,FIDA,BTC
FIDAUSDT,FIDA,USDT
FILBTC,FIL,BTC
FILETH,FIL,ETH
FILFDUSD,FI,LFDUSD
FILTRY,FIL,TRY
FILUSDT,FIL,USDT
FIOBTC,FIO,BTC
FIOUSDT,FIO,USDT
FISBTC,FIS,BTC
FISUSDT,FIS,USDT
FLMBTC,FLM,BTC
FLMUSDT,FLM,USDT
FLOKITRY,FLOKI,TRY
FLOKIUSDT,FLOKI,USDT
FLOWBTC,FLOW,BTC
FLOWUSDT,FLOW,USDT
FLUXBTC,FLUX,BTC
FLUXUSDT,FLUX,USDT
FORTHBTC,FORTH,BTC
FORTHUSDT,FORTH,USDT
FTTUSDT,FTT,USDT
FUNUSDT,FUN,USDT
FXSUSDT,FXS,USDT
GALABRL,GAL,ABRL
GALABTC,GALA,BTC
GALAETH,GALA,ETH
GALAEUR,GALA,EUR
GALATRY,GALA,TRY
GALAUSDT,GALA,USDT
GASBTC,GAS,BTC
GASUSDT,GAS,USDT
GHSTUSDT,GHST,USDT
GLMBTC,GLM,BTC
GLMRBTC,GLMR,BTC
GLMRUSDT,GLMR,USDT
GLMUSDT,GLM,USDT
GMTBTC,GMT,BTC
GMTEUR,GMT,EUR
GMTTRY,GMT,TRY
GMTUSDT,GMT,USDT
GMXUSDT,GMX,USDT
GNOUSDT,GNO,USDT
GNSUSDT,GNS,USDT
GRTBTC,GRT,BTC
GRTETH,GRT,ETH
GRTEUR,GRT,EUR
GRTTRY,GRT,TRY
GRTUSDT,GRT,USDT
GTCUSDT,GTC,USDT
HBARBNB,HBAR,BNB
HBARBTC,HBAR,BTC
HBARUSDT,HBAR,USDT
HFTBTC,HFT,BTC
HFTUSDT,HFT,USDT
HIFIUSDT,HIFI,USDT
HIGHUSDT,HIGH,USDT
HIVEBTC,HIVE,BTC
HIVEUSDT,HIVE,USDT
HOOKUSDT,HOOK,USDT
HOTETH,HOT,ETH
HOTTRY,HOT,TRY
HOTUSDT,HOT,USDT
ICPBTC,ICP,BTC
ICPETH,ICP,ETH
ICPEUR,ICP,EUR
ICPTRY,ICP,TRY
ICPUSDT,ICP,USDT
ICXBTC,ICX,BTC
ICXUSDT,ICX,USDT
IDBTC,ID,BTC
IDEXUSDT,IDEX,USDT
IDTRY,ID,TRY
IDUSDT,ID,USDT
ILVBTC,ILV,BTC
ILVUSDT,ILV,USDT
IMXBTC,IMX,BTC
IMXUSDT,IMX,USDT
INJBNB,INJ,BNB
INJBTC,INJ,BTC
INJETH,INJ,ETH
INJTRY,INJ,TRY
INJUSDT,INJ,USDT
IOSTUSDT,IOST,USDT
IOTABTC,IOTA,BTC
IOTAETH,IOTA,ETH
IOTAUSDT,IOTA,USDT
IOTXBTC,IOTX,BTC
IOTXETH,IOTX,ETH
IOTXUSDT,IOTX,USDT
IQUSDT,IQ,USDT
JASMYTRY,JASMY,TRY
JASMYUSDT,JASMY,USDT
JOEBTC,JOE,BTC
JOEUSDT,JOE,USDT
JSTBTC,JST,BTC
JSTUSDT,JST,USDT
JUVTRY,JUV,TRY
JUVUSDT,JUV,USDT
KAVABTC,KAVA,BTC
KAVAUSDT,KAVA,USDT
KDABTC,KDA,BTC
KDAUSDT,KDA,USDT
KMDBTC,KMD,BTC
KMDUSDT,KMD,USDT
KNCBTC,KNC,BTC
KNCUSDT,KNC,USDT
KSMBTC,KSM,BTC
KSMUSDT,KSM,USDT
LAZIOTRY,LAZIO,TRY
LAZIOUSDT,LAZIO,USDT
LDOBTC,LDO,BTC
LDOUSDT,LDO,USDT
LEVERTRY,LEVER,TRY
LEVERUSDT,LEVER,USDT
LINKBNB,LINK,BNB
LINKBRL,LINK,BRL
LINKBTC,LINK,BTC
LINKETH,LINK,ETH
LINKEUR,LINK,EUR
LINKFDUSD,LINK,FDUSD
LINKTRY,LINK,TRY
LINKUSDC,LINK,USDC
LINKUSDT,LINK,USDT
LOKABTC,LOKA,BTC
LOKAUSDT,LOKA,USDT
LPTBNB,LPT,BNB
LPTBTC,LPT,BTC
LPTTRY,LPT,TRY
LPTUSDT,LPT,USDT
LQTYUSDT,LQTY,USDT
LRCBTC,LRC,BTC
LRCETH,LRC,ETH
LRCTRY,LRC,TRY
LRCUSDT,LRC,USDT
LSKBTC,LSK,BTC
LSKUSDT,LSK,USDT
LTCBNB,LTC,BNB
LTCBRL,L,TCBRL
LTCBTC,LTC,BTC
LTCETH,LTC,ETH
LTCEUR,LTC,EUR
LTCFDUSD,LT,CFDUSD
LTCTRY,LTC,TRY
LTCUSDC,LTC,USDC
LTCUSDT,LTC,USDT
LTOBTC,LTO,BTC
LTOUSDT,LTO,USDT
LUNATRY,LUNA,TRY
LUNAUSDT,LUNA,USDT
LUNCUSDT,LUNC,USDT
MAGICBTC,MAGIC,BTC
MAGICTRY,MAGIC,TRY
MAGICUSDT,MAGIC,USDT
MANABTC,MANA,BTC
MANAETH,MANA,ETH
MANATRY,MANA,TRY
MANAUSDT,MANA,USDT
MASKBNB,MASK,BNB
MASKUSDT,MASK,USDT
MAVBTC,MAV,BTC
MAVTRY,MAV,TRY
MAVUSDT,MAV,USDT
MBLUSDT,MBL,USDT
MBOXTRY,MBOX,TRY
MBOXUSDT,MBOX,USDT
MDTUSDT,MDT,USDT
MEMEFDUSD,MEM,EFDUSD
MEMETRY,MEME,TRY
MEMEUSDT,MEME,USDT
MINABTC,MINA,BTC
MINATRY,MINA,TRY
MINAUSDT,MINA,USDT
MKRBTC,MKR,BTC
MKRUSDT,MKR,USDT
MLNUSDT,MLN,USDT
MOVRBTC,MOVR,BTC
MOVRUSDT,MOVR,USDT
MTLBTC,MTL,BTC
MTLUSDT,MTL,USDT
NEARBNB,NEAR,BNB
NEARBTC,NEAR,BTC
NEARETH,NEAR,ETH
NEAREUR,NEAR,EUR
NEARFDUSD,NEA,RFDUSD
NEARTRY,NEAR,TRY
NEARUSDT,NEAR,USDT
NEOBTC,NEO,BTC
NEOTRY,NEO,TRY
NEOUSDC,NEO,USDC
NEOUSDT,NEO,USDT
NEXOBTC,NEXO,BTC
NEXOUSDT,NEXO,USDT
NKNBTC,NKN,BTC
NKNUSDT,NKN,USDT
NMRBTC,NMR,BTC
NMRUSDT,NMR,USDT
NTRNBNB,NTRN,BNB
NTRNUSDT,NTRN,USDT
OGBTC,OG,BTC
OGNBTC,OGN,BTC
OGNTRY,OGN,TRY
OGNUSDT,OGN,USDT
OGTRY,OG,TRY
OGUSDT,OG,USDT
OMBTC,OM,BTC
OMUSDT,OM,USDT
ONEBTC,ONE,BTC
ONETRY,ONE,TRY
ONEUSDT,ONE,USDT
ONGBTC,ONG,BTC
ONGUSDT,ONG,USDT
ONTBTC,ONT,BTC
ONTTRY,ONT,TRY
ONTUSDC,ONT,USDC
ONTUSDT,ONT,USDT
OPBTC,OP,BTC
OPETH,OP,ETH
OPEUR,OP,EUR
OPFDUSD,O,PFDUSD
OPTRY,OP,TRY
OPUSDT,OP,USDT
ORDIBTC,ORDI,BTC
ORDIFDUSD,ORD,IFDUSD
ORDITRY,ORDI,TRY
ORDIUSDT,ORDI,USDT
OSMOUSDT,OSMO,USDT
OXTBTC,OXT,BTC
OXTUSDT,OXT,USDT
PAXGBTC,PAXG,BTC
PAXGTRY,PAXG,TRY
PAXGUSDT,PAXG,USDT
PENDLEBTC,PENDLE,BTC
PENDLEUSDT,PENDLE,USDT
PEOPLEBTC,PEOPLE,BTC
PEOPLEUSDT,PEOPLE,USDT
PEPETRY,PEPE,TRY
PEPEUSDT,PEPE,USDT
PERPUSDT,PERP,USDT
PHABTC,PHA,BTC
PHAUSDT,PHA,USDT
PHBBTC,PHB,BTC
PHBUSDT,PHB,USDT
PIVXBTC,PIVX,BTC
PIVXUSDT,PIVX,USDT
POLYXBTC,POLYX,BTC
POLYXUSDT,POLYX,USDT
PONDUSDT,POND,USDT
PORTOTRY,PORTO,TRY
PORTOUSDT,PORTO,USDT
POWRBTC,POWR,BTC
POWRETH,POWR,ETH
POWRUSDT,POWR,USDT
PROMUSDT,PROM,USDT
PSGTRY,PSG,TRY
PSGUSDT,PSG,USDT
PUNDIXUSDT,PUNDIX,USDT
PYRBTC,PYR,BTC
PYRUSDT,PYR,USDT
QIUSDT,QI,USDT
QKCUSDT,QKC,USDT
QNTBTC,QNT,BTC
QNTUSDT,QNT,USDT
QTUMBTC,QTUM,BTC
QTUMETH,QTUM,ETH
QTUMUSDT,QTUM,USDT
QUICKUSDT,QUICK,USDT
RADTRY,RAD,TRY
RADUSDT,RAD,USDT
RAREBTC,RARE,BTC
RAREUSDT,RARE,USDT
RAYUSDT,RAY,USDT
RDNTUSDT,RDNT,USDT
REIUSDT,REI,USDT
REQBTC,REQ,BTC
REQUSDT,REQ,USDT
RIFBTC,RIF,BTC
RIFUSDT,RIF,USDT
RLCBTC,RLC,BTC
RLCETH,RLC,ETH
RLCUSDT,RLC,USDT
ROSEBTC,ROSE,BTC
ROSETRY,ROSE,TRY
ROSEUSDT,ROSE,USDT
RPLUSDT,RPL,USDT
RSRUSDT,RSR,USDT
RUNEBTC,RUNE,BTC
RUNEETH,RUNE,ETH
RUNEFDUSD,RUN,EFDUSD
RUNEUSDT,RUNE,USDT
RVNBTC,RVN,BTC
RVNTRY,RVN,TRY
RVNUSDT,RVN,USDT
SANDBTC,SAND,BTC
SANDTRY,SAND,TRY
SANDUSDT,SAND,USDT
SANTOSBTC,SANTOS,BTC
SANTOSTRY,SANTOS,TRY
SANTOSUSDT,SANTOS,USDT
SCETH,SC,ETH
SCRTBTC,SCRT,BTC
SCRTUSDT,SCRT,USDT
SCUSDT,SC,USDT
SEIBNB,SEI,BNB
SEIBTC,SEI,BTC
SEIFDUSD,SE,IFDUSD
SEITRY,SEI,TRY
SEIUSDT,SEI,USDT
SFPBTC,SFP,BTC
SFPUSDT,SFP,USDT
SHIBBRL,SHI,BBRL
SHIBDOGE,SHIBDOGE,
SHIBEUR,SHIB,EUR
SHIBTRY,SHIB,TRY
SHIBUSDT,SHIB,USDT
SKLBTC,SKL,BTC
SKLUSDT,SKL,USDT
SLPETH,SLP,ETH
SLPTRY,SLP,TRY
SLPUSDT,SLP,USDT
SNXBTC,SNX,BTC
SNXUSDT,SNX,USDT
SOLBNB,SOL,BNB
SOLBRL,SOL,BRL
SOLBTC,SOL,BTC
SOLETH,SOL,ETH
SOLEUR,SOL,EUR
SOLFDUSD,SO,LFDUSD
SOLTRY,SOL,TRY
SOLTUSD,SOL,TUSD
SOLUSDC,SOL,USDC
SOLUSDT,SOL,USDT
SPELLTRY,SPELL,TRY
SPELLUSDT,SPELL,USDT
SSVBTC,SSV,BTC
SSVETH,SSV,ETH
SSVUSDT,SSV,USDT
STEEMBTC,STEEM,BTC
STEEMETH,STEEM,ETH
STEEMUSDT,STEEM,USDT
STGBTC,STG,BTC
STGUSDT,STG,USDT
STORJBTC,STORJ,BTC
STORJTRY,STORJ,TRY
STORJUSDT,STORJ,USDT
STPTBTC,STPT,BTC
STPTUSDT,STPT,USDT
STRAXBTC,STRAX,BTC
STRAXTRY,STRAX,TRY
STRAXUSDT,STRAX,USDT
STXBNB,STX,BNB
STXBTC,STX,BTC
STXTRY,STX,TRY
STXUSDT,STX,USDT
SUIBNB,SUI,BNB
SUIBTC,SUI,BTC
SUIEUR,SUI,EUR
SUIFDUSD,SU,IFDUSD
SUITRY,SUI,TRY
SUIUSDT,SUI,USDT
SUNUSDT,SUN,USDT
SUPERBTC,SUPER,BTC
SUPERUSDT,SUPER,USDT
SUSHIBTC,SUSHI,BTC
SUSHIUSDT,SUSHI,USDT
SXPBTC,SXP,BTC
SXPTRY,SXP,TRY
SXPUSDT,SXP,USDT
SYNUSDT,SYN,USDT
SYSBTC,SYS,BTC
SYSUSDT,SYS,USDT
TFUELBTC,TFUEL,BTC
TFUELUSDT,TFUEL,USDT
THETABTC,THETA,BTC
THETAUSDT,THETA,USDT
TIABTC,TIA,BTC
TIATRY,TIA,TRY
TIAUSDT,TIA,USDT
TKOUSDT,TKO,USDT
TLMTRY,TLM,TRY
TLMUSDT,TLM,USDT
TRBBTC,TRB,BTC
TRBTRY,TRB,TRY
TRBUSDT,TRB,USDT
TRUBTC,TRU,BTC
TRUUSDT,TRU,USDT
TRXBNB,TRX,BNB
TRXBTC,TRX,BTC
TRXETH,TRX,ETH
TRXEUR,TRX,EUR
TRXTRY,TRX,TRY
TRXUSDC,TRX,USDC
TRXUSDT,TRX,USDT
TRXXRP,TRX,XRP
TUSDT,T,USDT
TUSDUSDT,TUSD,USDT
TWTTRY,TWT,TRY
TWTUSDT,TWT,USDT
UMABTC,UMA,BTC
UMATRY,UMA,TRY
UMAUSDT,UMA,USDT
UNIBTC,UNI,BTC
UNIETH,UNI,ETH
UNITRY,UNI,TRY
UNIUSDT,UNI,USDT
USDCUSDT,USDC,USDT
USDPUSDT,USDP,USDT
USDTARS,USDT,ARS
USDTBRL,USD,TBRL
USDTDAI,USDT,DAI
USDTPLN,USDT,PLN
USDTTRY,USDT,TRY
USDTUAH,USDT,UAH
USDTZAR,USDT,ZAR
USTCUSDT,USTC,USDT
UTKUSDT,UTK,USDT
VETBNB,VET,BNB
VETBTC,VET,BTC
VETETH,VET,ETH
VETEUR,VET,EUR
VETTRY,VET,TRY
VETUSDT,VET,USDT
VIBUSDT,VIB,USDT
VOXELUSDT,VOXEL,USDT
VTHOUSDT,VTHO,USDT
WANBTC,WAN,BTC
WANUSDT,WAN,USDT
WAXPBTC,WAXP,BTC
WAXPUSDT,WAXP,USDT
WBETHETH,WBETH,ETH
WBETHUSDT,WBETH,USDT
WBTCBTC,WBTC,BTC
WBTCETH,WBTC,ETH
WBTCUSDT,WBTC,USDT
WINEUR,WIN,EUR
WINGUSDT,WING,USDT
WINTRX,WIN,TRX
WINUSDT,WIN,USDT
WLDBTC,WLD,BTC
WLDTRY,WLD,TRY
WLDUSDT,WLD,USDT
WOOUSDT,WOO,USDT
XECTRY,XEC,TRY
XECUSDT,XEC,USDT
XLMBTC,XLM,BTC
XLMETH,XLM,ETH
XLMEUR,XLM,EUR
XLMTRY,XLM,TRY
XLMUSDC,XLM,USDC
XLMUSDT,XLM,USDT
XNOBTC,XNO,BTC
XNOUSDT,XNO,USDT
XRPBNB,XRP,BNB
XRPBRL,XRP,BRL
XRPBTC,XRP,BTC
XRPETH,XRP,ETH
XRPEUR,XRP,EUR
XRPFDUSD,XR,PFDUSD
XRPTRY,XRP,TRY
XRPTUSD,XRP,TUSD
XRPUSDC,XRP,USDC
XRPUSDT,XRP,USDT
XTZBTC,XTZ,BTC
XTZUSDT,XTZ,USDT
XVGETH,XVG,ETH
XVGTRY,XVG,TRY
XVGUSDT,XVG,USDT
XVSBNB,XVS,BNB
XVSBTC,XVS,BTC
XVSTRY,XVS,TRY
XVSUSDT,XVS,USDT
YFIBTC,YFI,BTC
YFIUSDT,YFI,USDT
YGGBTC,YGG,BTC
YGGUSDT,YGG,USDT
ZECBTC,ZEC,BTC
ZECETH,ZEC,ETH
ZECUSDT,ZEC,USDT
ZENBTC,ZEN,BTC
ZENUSDT,ZEN,USDT
ZILBTC,ZIL,BTC
ZILETH,ZIL,ETH
ZILTRY,ZIL,TRY
ZILUSDT,ZIL,USDT
ZRXBTC,ZRX,BTC
ZRXUSDT,ZRX,USDT
