symbol,base_coin,quote_coin,project_name
CAKEBTC,CAKE,BTC,PancakeSwap
CAKETRY,CAKE,TRY,PancakeSwap
CAKEUSDT,CAKE,USDT,PancakeSwap
CELOBTC,CELO,BTC,Celo (Wormhole)
CELOUSDT,CELO,USDT,Celo (Wormhole)
CELRUSDT,CELR,USDT,Celer Network
CFXBTC,CFX,BTC,Cosmic Force Token v2
CFXTRY,CFX,TRY,Cosmic Force Token v2
CFXUSDT,CFX,USDT,Cosmic Force Token v2
CHESSUSDT,CHESS,USDT,Tranchess
CHRBTC,CHR,BTC,Chronos Finance
CHRUSDT,CHR,USDT,Chronos Finance
CHZBNB,CHZ,BNB,Chiliz
CHZBTC,CHZ,BTC,Chiliz
CHZTRY,CHZ,TRY,Chiliz
CHZUSDT,CHZ,USDT,Chiliz
CITYTRY,CITY,TRY,Manchester City Fan Token
CITYUSDT,CITY,USDT,Manchester City Fan Token
CKBUSDT,CKB,USDT,Nervos Network
COMPBTC,COMP,BTC,Compound
COMPTRY,COMP,TRY,Compound
COMPUSDT,COMP,USDT,Compound
COSTRY,COS,TRY,Contentos
COSUSDT,COS,USDT,Contentos
COTIBTC,COTI,BTC,COTI
COTIUSDT,COTI,USDT,COTI
CRVBTC,CRV,BTC,Curve DAO
CRVUSDT,CRV,USDT,Curve DAO
CTKBNB,CTK,BNB,Shentu
CTKBTC,CTK,BTC,Shentu
CTKUSDT,CTK,USDT,Shentu
CTSIBTC,CTSI,BTC,Cartesi
CTSIUSDT,CTSI,USDT,Cartesi
CVCUSDT,CVC,USDT,Civic
CVXUSDT,CVX,USDT,Convex Finance
CYBERBNB,CYBER,BNB,Cyberpunk City
CYBERBTC,CYBER,BTC,Cyberpunk City
CYBERETH,CYBER,ETH,Cyberpunk City
CYBERFDUSD,CYBER,FDUSD,Cyberpunk City
CYBERTRY,CYBER,TRY,Cyberpunk City
CYBERUSDT,CYBER,USDT,Cyberpunk City
DASHBTC,DASH,BTC,Dash
DASHETH,DASH,ETH,Dash
DASHUSDT,DASH,USDT,Dash
DATABTC,DATA,BTC,Streamr
DATAUSDT,DATA,USDT,Streamr
DCRUSDT,DCR,USDT,Decred
DEGOUSDT,DEGO,USDT,Dego Finance
DENTETH,DENT,ETH,Dent
DENTTRY,DENT,TRY,Dent
DENTUSDT,DENT,USDT,Dent
DEXEUSDT,DEXE,USDT,DeXe
DFUSDT,DF,USDT,dForce
DGBUSDT,DGB,USDT,DigiByte
DIABTC,DIA,BTC,DIA
DIAUSDT,DIA,USDT,DIA
DODOBTC,DODO,BTC,Dodo the Black Swan
DODOUSDT,DODO,USDT,Dodo the Black Swan
DOGEBRL,DOGE,BRL,Dogecoin
DOGEBTC,DOGE,BTC,Dogecoin
DOGEEUR,DOGE,EUR,Dogecoin
DOGEFDUSD,DOGE,FDUSD,Dogecoin
DOGETRY,DOGE,TRY,Dogecoin
DOGETUSD,DOGE,TUSD,Dogecoin
DOGEUSDC,DOGE,USDC,Dogecoin
DOGEUSDT,DOGE,USDT,Dogecoin
DOTBNB,DOT,BNB,Polkadot
DOTBRL,DO,TBRL,DO Token
DOTBTC,DOT,BTC,Polkadot
DOTETH,DOT,ETH,Polkadot
DOTEUR,DOT,EUR,Polkadot
DOTFDUSD,DOT,FDUSD,Polkadot
DOTTRY,DOT,TRY,Polkadot
DOTUSDT,DOT,USDT,Polkadot
DUSKBTC,DUSK,BTC,DUSK
DUSKUSDT,DUSK,USDT,DUSK
DYDXBTC,DYDX,BTC,DYDX Chain
DYDXFDUSD,DYDX,FDUSD,DYDX Chain
DYDXUSDT,DYDX,USDT,DYDX Chain
EDUTRY,EDU,TRY,Open Campus
EDUUSDT,EDU,USDT,Open Campus
EGLDBNB,EGLD,BNB,MultiversX (Elrond)
EGLDBTC,EGLD,BTC,MultiversX (Elrond)
EGLDETH,EGLD,ETH,MultiversX (Elrond)
EGLDEUR,EGLD,EUR,MultiversX (Elrond)
EGLDFDUSD,EGLD,FDUSD,MultiversX (Elrond)
EGLDRON,EGLD,RON,MultiversX (Elrond)
EGLDUSDT,EGLD,USDT,MultiversX (Elrond)
ENJBTC,ENJ,BTC,Enjin Coin
ENJTRY,ENJ,TRY,Enjin Coin
ENJUSDT,ENJ,USDT,Enjin Coin
ENSBTC,ENS,BTC,Ethereum Name Service
ENSTRY,ENS,TRY,Ethereum Name Service
ENSUSDT,ENS,USDT,Ethereum Name Service
EOSBTC,EOS,BTC,EOS
EOSETH,EOS,ETH,EOS
EOSTRY,EOS,TRY,EOS
EOSUSDC,EOS,USDC,EOS
EOSUSDT,EOS,USDT,EOS
ETCBNB,ETC,BNB,Ethereum Classic
ETCBTC,ETC,BTC,Ethereum Classic
ETCETH,ETC,ETH,Ethereum Classic
ETCTRY,ETC,TRY,Ethereum Classic
ETCUSDT,ETC,USDT,Ethereum Classic
ETHBRL,ETH,BRL,Ethereum
ETHBTC,ETH,BTC,Ethereum
ETHDAI,ETH,DAI,Ethereum
ETHEUR,ETH,EUR,Ethereum
ETHFDUSD,ETH,FDUSD,Ethereum
ETHPLN,ETH,PLN,Ethereum
ETHTRY,ETH,TRY,Ethereum
ETHTUSD,ETH,TUSD,Ethereum
ETHUSDC,ETH,USDC,Ethereum
ETHUSDT,ETH,USDT,Ethereum
ETHZAR,ETH,ZAR,Ethereum
EURUSDT,EUR,USDT,Euro (Fiat)
FARMUSDT,FARM,USDT,TaxFarm.ing
FDUSDTRY,FDUSD,TRY,First Digital USD
FDUSDUSDT,FDUSD,USDT,First Digital USD
FETBNB,FET,BNB,Artificial Superintelligence Alliance
FETBTC,FET,BTC,Artificial Superintelligence Alliance
FETFDUSD,FET,FDUSD,Artificial Superintelligence Alliance
FETTRY,FET,TRY,Artificial Superintelligence Alliance
FETUSDT,FET,USDT,Artificial Superintelligence Alliance
FIDABTC,FIDA,BTC,Solana Name Service (prev. Bonfida)
FIDAUSDT,FIDA,USDT,Solana Name Service (prev. Bonfida)
FILBTC,FIL,BTC,Filecoin
FILETH,FIL,ETH,Filecoin
FILFDUSD,FIL,FDUSD,Filecoin
FILTRY,FIL,TRY,Filecoin
FILUSDT,FIL,USDT,Filecoin
FIOBTC,FIO,BTC,FIO Protocol
FIOUSDT,FIO,USDT,FIO Protocol
FISBTC,FIS,BTC,Stafi
FISUSDT,FIS,USDT,Stafi
FLMBTC,FLM,BTC,Flamingo Finance
FLMUSDT,FLM,USDT,Flamingo Finance
FLOKITRY,FLOKI,TRY,Flokiwifhat
FLOKIUSDT,FLOKI,USDT,Flokiwifhat
FLOWBTC,FLOW,BTC,Flow
FLOWUSDT,FLOW,USDT,Flow
FLUXBTC,FLUX,BTC,FLUX
FLUXUSDT,FLUX,USDT,FLUX
FORTHBTC,FORTH,BTC,Ampleforth Governance
FORTHUSDT,FORTH,USDT,Ampleforth Governance
FTTUSDT,FTT,USDT,FTX
FUNUSDT,FUN,USDT,terminal of fun
FXSUSDT,FXS,USDT,Frax Share
GALABRL,GAL,ABRL,GAL (migrated to Gravity - G)
GALABTC,GALA,BTC,GALA
GALAETH,GALA,ETH,GALA
GALAEUR,GALA,EUR,GALA
GALATRY,GALA,TRY,GALA
GALAUSDT,GALA,USDT,GALA
GASBTC,GAS,BTC,GASX
GASUSDT,GAS,USDT,GASX
GHSTUSDT,GHST,USDT,Aavegotchi
GLMBTC,GLM,BTC,Golem
GLMRBTC,GLMR,BTC,Moonbeam
GLMRUSDT,GLMR,USDT,Moonbeam
GLMUSDT,GLM,USDT,Golem
GMTBTC,GMT,BTC,GMT
GMTEUR,GMT,EUR,GMT
GMTTRY,GMT,TRY,GMT
GMTUSDT,GMT,USDT,GMT
GMXUSDT,GMX,USDT,GMX
GNOUSDT,GNO,USDT,Linea Bridged GNO (Linea)
GNSUSDT,GNS,USDT,Gains Network
GRTBTC,GRT,BTC,The Graph
GRTETH,GRT,ETH,The Graph
GRTEUR,GRT,EUR,The Graph
GRTTRY,GRT,TRY,The Graph
GRTUSDT,GRT,USDT,The Graph
GTCUSDT,GTC,USDT,Global Trust Coin
HBARBNB,HBAR,BNB,Hedera Hashgraph
HBARBTC,HBAR,BTC,Hedera Hashgraph
HBARUSDT,HBAR,USDT,Hedera Hashgraph
HFTBTC,HFT,BTC,Hashflow
HFTUSDT,HFT,USDT,Hashflow
HIFIUSDT,HIFI,USDT,Hifi Finance
HIGHUSDT,HIGH,USDT,Highstreet
HIVEBTC,HIVE,BTC,HIVE
HIVEUSDT,HIVE,USDT,HIVE
HOOKUSDT,HOOK,USDT,Hooked Protocol
HOTETH,HOT,ETH,Holo
HOTTRY,HOT,TRY,Holo
HOTUSDT,HOT,USDT,Holo
ICPBTC,ICP,BTC,Internet Computer
ICPETH,ICP,ETH,Internet Computer
ICPEUR,ICP,EUR,Internet Computer
ICPTRY,ICP,TRY,Internet Computer
ICPUSDT,ICP,USDT,Internet Computer
ICXBTC,ICX,BTC,ICON
ICXUSDT,ICX,USDT,ICON
IDBTC,ID,BTC,SPACE ID
IDEXUSDT,IDEX,USDT,IDEX
IDTRY,ID,TRY,SPACE ID
IDUSDT,ID,USDT,SPACE ID
ILVBTC,ILV,BTC,Illuvium
ILVUSDT,ILV,USDT,Illuvium
IMXBTC,IMX,BTC,Immutable
IMXUSDT,IMX,USDT,Immutable
INJBNB,INJ,BNB,Injective Protocol
INJBTC,INJ,BTC,Injective Protocol
INJETH,INJ,ETH,Injective Protocol
INJTRY,INJ,TRY,Injective Protocol
INJUSDT,INJ,USDT,Injective Protocol
IOSTUSDT,IOST,USDT,IOST
IOTABTC,IOTA,BTC,IOTA
IOTAETH,IOTA,ETH,IOTA
IOTAUSDT,IOTA,USDT,IOTA
IOTXBTC,IOTX,BTC,IoTeX
IOTXETH,IOTX,ETH,IoTeX
IOTXUSDT,IOTX,USDT,IoTeX
IQUSDT,IQ,USDT,IQ6900
JASMYTRY,JASMY,TRY,JasmyCoin
JASMYUSDT,JASMY,USDT,JasmyCoin
JOEBTC,JOE,BTC,Joe Coin
JOEUSDT,JOE,USDT,Joe Coin
JSTBTC,JST,BTC,JUST
JSTUSDT,JST,USDT,JUST
JUVTRY,JUV,TRY,Juventus Fan Token
JUVUSDT,JUV,USDT,Juventus Fan Token
KAVABTC,KAVA,BTC,Kava
KAVAUSDT,KAVA,USDT,Kava
KDABTC,KDA,BTC,Kadena
KDAUSDT,KDA,USDT,Kadena
KMDBTC,KMD,BTC,Komodo
KMDUSDT,KMD,USDT,Komodo
KNCBTC,KNC,BTC,Kyber Network Crystal
KNCUSDT,KNC,USDT,Kyber Network Crystal
KSMBTC,KSM,BTC,Kusama
KSMUSDT,KSM,USDT,Kusama
LAZIOTRY,LAZIO,TRY,Lazio Fan Token
LAZIOUSDT,LAZIO,USDT,Lazio Fan Token
LDOBTC,LDO,BTC,Linea Bridged LDO (Linea)
LDOUSDT,LDO,USDT,Linea Bridged LDO (Linea)
LEVERTRY,LEVER,TRY,LeverFi
LEVERUSDT,LEVER,USDT,LeverFi
LINKBNB,LINK,BNB,Osmosis allLINK
LINKBRL,LINK,BRL,Osmosis allLINK
LINKBTC,LINK,BTC,Osmosis allLINK
LINKETH,LINK,ETH,Osmosis allLINK
LINKEUR,LINK,EUR,Osmosis allLINK
LINKFDUSD,LINK,FDUSD,Osmosis allLINK
LINKTRY,LINK,TRY,Osmosis allLINK
LINKUSDC,LINK,USDC,Osmosis allLINK
LINKUSDT,LINK,USDT,Osmosis allLINK
LOKABTC,LOKA,BTC,League of Kingdoms
LOKAUSDT,LOKA,USDT,League of Kingdoms
LPTBNB,LPT,BNB,Livepeer
LPTBTC,LPT,BTC,Livepeer
LPTTRY,LPT,TRY,Livepeer
LPTUSDT,LPT,USDT,Livepeer
LQTYUSDT,LQTY,USDT,Liquity
LRCBTC,LRC,BTC,Loopring
LRCETH,LRC,ETH,Loopring
LRCTRY,LRC,TRY,Loopring
LRCUSDT,LRC,USDT,Loopring
LSKBTC,LSK,BTC,Lisk
LSKUSDT,LSK,USDT,Lisk
LTCBNB,LTC,BNB,Litecoin
LTCBRL,L,TCBRL,Take the L
LTCBTC,LTC,BTC,Litecoin
LTCETH,LTC,ETH,Litecoin
LTCEUR,LTC,EUR,Litecoin
LTCFDUSD,LTC,FDUSD,Litecoin
LTCTRY,LTC,TRY,Litecoin
LTCUSDC,LTC,USDC,Litecoin
LTCUSDT,LTC,USDT,Litecoin
LTOBTC,LTO,BTC,LTO Network
LTOUSDT,LTO,USDT,LTO Network
LUNATRY,LUNA,TRY,Luna Coin
LUNAUSDT,LUNA,USDT,Luna Coin
LUNCUSDT,LUNC,USDT,Terra Classic
MAGICBTC,MAGIC,BTC,Magnificent 7777
MAGICTRY,MAGIC,TRY,Magnificent 7777
MAGICUSDT,MAGIC,USDT,Magnificent 7777
MANABTC,MANA,BTC,Meme Anarchic Numismatic Asset
MANAETH,MANA,ETH,Meme Anarchic Numismatic Asset
MANATRY,MANA,TRY,Meme Anarchic Numismatic Asset
MANAUSDT,MANA,USDT,Meme Anarchic Numismatic Asset
MASKBNB,MASK,BNB,Wojak Mask
MASKUSDT,MASK,USDT,Wojak Mask
MAVBTC,MAV,BTC,Maverick Protocol
MAVTRY,MAV,TRY,Maverick Protocol
MAVUSDT,MAV,USDT,Maverick Protocol
MBLUSDT,MBL,USDT,MovieBloc
MBOXTRY,MBOX,TRY,Mobox
MBOXUSDT,MBOX,USDT,Mobox
MDTUSDT,MDT,USDT,Measurable Data
MEMEFDUSD,MEME,FDUSD,MPX6900
MEMETRY,MEME,TRY,MPX6900
MEMEUSDT,MEME,USDT,MPX6900
MINABTC,MINA,BTC,Mina Protocol
MINATRY,MINA,TRY,Mina Protocol
MINAUSDT,MINA,USDT,Mina Protocol
MKRBTC,MKR,BTC,Maker
MKRUSDT,MKR,USDT,Maker
MLNUSDT,MLN,USDT,Enzyme
MOVRBTC,MOVR,BTC,Moonriver
MOVRUSDT,MOVR,USDT,Moonriver
MTLBTC,MTL,BTC,Metal DAO
MTLUSDT,MTL,USDT,Metal DAO
NEARBNB,NEAR,BNB,Near Protocol
NEARBTC,NEAR,BTC,Near Protocol
NEARETH,NEAR,ETH,Near Protocol
NEAREUR,NEAR,EUR,Near Protocol
NEARFDUSD,NEAR,FDUSD,Near Protocol
NEARTRY,NEAR,TRY,Near Protocol
NEARUSDT,NEAR,USDT,Near Protocol
NEOBTC,NEO,BTC,NEO
NEOTRY,NEO,TRY,NEO
NEOUSDC,NEO,USDC,NEO
NEOUSDT,NEO,USDT,NEO
NEXOBTC,NEXO,BTC,NEXO
NEXOUSDT,NEXO,USDT,NEXO
NKNBTC,NKN,BTC,NKN
NKNUSDT,NKN,USDT,NKN
NMRBTC,NMR,BTC,Numeraire
NMRUSDT,NMR,USDT,Numeraire
NTRNBNB,NTRN,BNB,Neutron
NTRNUSDT,NTRN,USDT,Neutron
OGBTC,OG,BTC,OG Fan Token
OGNBTC,OGN,BTC,Origin Token
OGNTRY,OGN,TRY,Origin Token
OGNUSDT,OGN,USDT,Origin Token
OGTRY,OG,TRY,OG Fan Token
OGUSDT,OG,USDT,OG Fan Token
OMBTC,OM,BTC,MANTRA
OMUSDT,OM,USDT,MANTRA
ONEBTC,ONE,BTC,Harmony
ONETRY,ONE,TRY,Harmony
ONEUSDT,ONE,USDT,Harmony
ONGBTC,ONG,BTC,Ontology Gas
ONGUSDT,ONG,USDT,Ontology Gas
ONTBTC,ONT,BTC,Ontology
ONTTRY,ONT,TRY,Ontology
ONTUSDC,ONT,USDC,Ontology
ONTUSDT,ONT,USDT,Ontology
OPBTC,OP,BTC,Osmosis allOP
OPETH,OP,ETH,Osmosis allOP
OPEUR,OP,EUR,Osmosis allOP
OPFDUSD,OP,FDUSD,Osmosis allOP
OPTRY,OP,TRY,Osmosis allOP
OPUSDT,OP,USDT,Osmosis allOP
ORDIBTC,ORDI,BTC,ORDI
ORDIFDUSD,ORDI,FDUSD,ORDI
ORDITRY,ORDI,TRY,ORDI
ORDIUSDT,ORDI,USDT,ORDI
OSMOUSDT,OSMO,USDT,Osmosis
OXTBTC,OXT,BTC,Orchid Protocol
OXTUSDT,OXT,USDT,Orchid Protocol
PAXGBTC,PAXG,BTC,PAX Gold
PAXGTRY,PAXG,TRY,PAX Gold
PAXGUSDT,PAXG,USDT,PAX Gold
PENDLEBTC,PENDLE,BTC,Pendle
PENDLEUSDT,PENDLE,USDT,Pendle
PEOPLEBTC,PEOPLE,BTC,ConstitutionDAO (Wormhole)
PEOPLEUSDT,PEOPLE,USDT,ConstitutionDAO (Wormhole)
PEPETRY,PEPE,TRY,Pepe Community
PEPEUSDT,PEPE,USDT,Pepe Community
PERPUSDT,PERP,USDT,Perpetual Protocol
PHABTC,PHA,BTC,PHALA
PHAUSDT,PHA,USDT,PHALA
PHBBTC,PHB,BTC,Phoenix Global [OLD]
PHBUSDT,PHB,USDT,Phoenix Global [OLD]
PIVXBTC,PIVX,BTC,PIVX
PIVXUSDT,PIVX,USDT,PIVX
POLYXBTC,POLYX,BTC,Polymesh
POLYXUSDT,POLYX,USDT,Polymesh
PONDUSDT,POND,USDT,Marlin
PORTOTRY,PORTO,TRY,FC Porto
PORTOUSDT,PORTO,USDT,FC Porto
POWRBTC,POWR,BTC,Powerledger
POWRETH,POWR,ETH,Powerledger
POWRUSDT,POWR,USDT,Powerledger
PROMUSDT,PROM,USDT,Prom
PSGTRY,PSG,TRY,Paris Saint-Germain Fan Token
PSGUSDT,PSG,USDT,Paris Saint-Germain Fan Token
PUNDIXUSDT,PUNDIX,USDT,Pundi X
PYRBTC,PYR,BTC,Vulcan Forged
PYRUSDT,PYR,USDT,Vulcan Forged
QIUSDT,QI,USDT,QiSwap
QKCUSDT,QKC,USDT,QuarkChain
QNTBTC,QNT,BTC,Quant
QNTUSDT,QNT,USDT,Quant
QTUMBTC,QTUM,BTC,Qtum
QTUMETH,QTUM,ETH,Qtum
QTUMUSDT,QTUM,USDT,Qtum
QUICKUSDT,QUICK,USDT,Quickswap
RADTRY,RAD,TRY,Radworks
RADUSDT,RAD,USDT,Radworks
RAREBTC,RARE,BTC,Unique One
RAREUSDT,RARE,USDT,Unique One
RAYUSDT,RAY,USDT,Raydium
RDNTUSDT,RDNT,USDT,Radiant Capital
REIUSDT,REI,USDT,REI Network
REQBTC,REQ,BTC,Request
REQUSDT,REQ,USDT,Request
RIFBTC,RIF,BTC,Rootstock Infrastructure Framework
RIFUSDT,RIF,USDT,Rootstock Infrastructure Framework
RLCBTC,RLC,BTC,iExec RLC
RLCETH,RLC,ETH,iExec RLC
RLCUSDT,RLC,USDT,iExec RLC
ROSEBTC,ROSE,BTC,Oasis Network
ROSETRY,ROSE,TRY,Oasis Network
ROSEUSDT,ROSE,USDT,Oasis Network
RPLUSDT,RPL,USDT,Rocket Pool
RSRUSDT,RSR,USDT,Reserve Rights
RUNEBTC,RUNE,BTC,THORChain
RUNEETH,RUNE,ETH,THORChain
RUNEFDUSD,RUNE,FDUSD,THORChain
RUNEUSDT,RUNE,USDT,THORChain
RVNBTC,RVN,BTC,Ravencoin
RVNTRY,RVN,TRY,Ravencoin
RVNUSDT,RVN,USDT,Ravencoin
SANDBTC,SAND,BTC,The Sandbox (Wormhole)
SANDTRY,SAND,TRY,The Sandbox (Wormhole)
SANDUSDT,SAND,USDT,The Sandbox (Wormhole)
SANTOSBTC,SANTOS,BTC,Santos FC Fan Token
SANTOSTRY,SANTOS,TRY,Santos FC Fan Token
SANTOSUSDT,SANTOS,USDT,Santos FC Fan Token
SCETH,SC,ETH,Siacoin
SCRTBTC,SCRT,BTC,Secret
SCRTUSDT,SCRT,USDT,Secret
SCUSDT,SC,USDT,Siacoin
SEIBNB,SEI,BNB,Sei
SEIBTC,SEI,BTC,Sei
SEIFDUSD,SEI,FDUSD,Sei
SEITRY,SEI,TRY,Sei
SEIUSDT,SEI,USDT,Sei
SFPBTC,SFP,BTC,SafePal
SFPUSDT,SFP,USDT,SafePal
SHIBBRL,SHI,BBRL,Shirtum
SHIBDOGE,SHIBDOGE,,ShibaDoge
SHIBEUR,SHIB,EUR,Strategic Hub for Innovation in Blockchain
SHIBTRY,SHIB,TRY,Strategic Hub for Innovation in Blockchain
SHIBUSDT,SHIB,USDT,Strategic Hub for Innovation in Blockchain
SKLBTC,SKL,BTC,SKALE
SKLUSDT,SKL,USDT,SKALE
SLPETH,SLP,ETH,Smooth Love Potion
SLPTRY,SLP,TRY,Smooth Love Potion
SLPUSDT,SLP,USDT,Smooth Love Potion
SNXBTC,SNX,BTC,Synthetix Network
